Data,Dim,Max_ACF,Max_Lag
H4K5ac,1,0.8901609663133307,-4.08
H4K5ac,2,0.9218078213091534,-4.38
H4K16ac,1,-0.6337142831896727,-3.3
H4K16ac,2,0.7742894577832528,0
H3K4me3,1,0.7978755503736681,7.86
H3K4me3,2,0.6802899430114542,14.76
H3K9ac,1,0.9482314115936665,-3
H3K9ac,2,0.881163260191223,-4.0200000000000005
H3K14ac,1,0.909619710123125,-4.56
H3K14ac,2,0.42876471298538793,44.519999999999996
H3K18ac,1,0.9747730314648093,-3.3
H3K18ac,2,0.9595560939395189,-3.48
H3K36me3,1,-0.5667564611898995,-28.14
H3K36me3,2,0.5185543659592367,60
H3K56ac,1,0.7679951246911628,40.980000000000004
H3K56ac,2,-0.8056688822728584,-29.759999999999998
H4K5ac,1,0.9210041246880538,-3.9000000000000004
H4K5ac,2,0.89383975707354,-3.66
H4K16ac,1,-0.535342948318164,-0.6599999999999999
H4K16ac,2,0.7225666828316872,0
H3K4me3,1,0.8048946900735885,8.040000000000001
H3K4me3,2,0.6915644853830561,17.4
H3K9ac,1,0.9593701089317529,-3.12
H3K9ac,2,0.8789725343628312,-2.6399999999999997
H3K14ac,1,0.9250685462419185,-5.58
H3K14ac,2,0.46895366927001314,59.16
H3K18ac,1,0.9585516059743933,-3.12
H3K18ac,2,0.9566883821830996,-3.5999999999999996
H3K36me3,1,0.5599150063590188,13.2
H3K36me3,2,-0.47055203224141195,-36.36
H3K56ac,1,0.7406284691261203,43.68
H3K56ac,2,-0.7876898673576692,-29.58
H4K5ac,1,0.8942769270399515,-4.5
H4K5ac,2,0.9144895382002814,-4.68
H4K16ac,1,-0.646078569879709,-1.5
H4K16ac,2,0.7491796341840113,-0.42
H3K4me3,1,0.8127528106680536,8.46
H3K4me3,2,-0.6700489930809894,-60
H3K9ac,1,0.9488261389881214,-2.82
H3K9ac,2,0.8669003968762472,-5.1000000000000005
H3K14ac,1,0.9298286101537542,-5.64
H3K14ac,2,0.45351379315671786,44.22
H3K18ac,1,0.974236026875197,-3.96
H3K18ac,2,0.9584829430946792,-4.2
H3K36me3,1,-0.5406426184848371,-28.62
H3K36me3,2,0.47605643582454565,60
H3K56ac,1,0.7224215298071059,43.98
H3K56ac,2,-0.7891340014034293,-28.380000000000003
H4K5ac,1,0.8907434911789731,-4.32
H4K5ac,2,0.9246647603376957,-4.92
H4K16ac,1,-0.5612956763241179,-2.34
H4K16ac,2,0.771449708508615,0
H3K4me3,1,0.7726084832993547,10.559999999999999
H3K4me3,2,0.6718661203845838,14.399999999999999
H3K9ac,1,0.9303282951773456,-4.38
H3K9ac,2,0.89058967801014155,-2.6399999999999997
H3K14ac,1,0.9261379239897318,-5.58
H3K14ac,2,0.5199436749228382,57.06
H3K18ac,1,0.9766523876970894,-1.98
H3K18ac,2,0.968153424115727,-2.76
H3K36me3,1,-0.5679310209283132,-28.14
H3K36me3,2,0.40348286092046154,60
H3K56ac,1,0.7540160590402191,41.88
H3K56ac,2,0.7723465557325958,48.42
H4K5ac,1,0.890686797079468,-3.66
H4K5ac,2,0.9087035308378808,-3.48
H4K16ac,1,-0.6531665219411048,-1.02
H4K16ac,2,0.7792878138552978,0
H3K4me3,1,0.796152334288975,10.500000000000002
H3K4me3,2,-0.6392578271535992,-60
H3K9ac,1,0.9399791132333077,-2.94
H3K9ac,2,0.8855826956720542,-2.58
H3K14ac,1,0.9534024399313965,-5.16
H3K14ac,2,-0.41913304829354725,-30.78
H3K18ac,1,0.9791365365076885,-3.1799999999999997
H3K18ac,2,0.9631582009139691,-2.52
H3K36me3,1,-0.574028932082136,-29.16
H3K36me3,2,-0.5129280062107475,-37.56
H3K56ac,1,0.7277283401353064,41.1
H3K56ac,2,-0.7999463904098754,-28.799999999999997
H4K5ac,1,0.8942770908757356,-4.140000000000001
H4K5ac,2,0.9158444354725237,-4.08
H4K16ac,1,-0.5491611192124154,-3.9000000000000004
H4K16ac,2,0.764250744081516,0
H3K4me3,1,0.7993298071940016,8.94
H3K4me3,2,0.6408593554666125,20.400000000000002
H3K9ac,1,0.9477021293048087,-3.54
H3K9ac,2,0.9092047372216782,-2.4
H3K14ac,1,0.93267607121485,-4.98
H3K14ac,2,0.4871712079509449,43.44
H3K18ac,1,0.9784945777256474,-2.82
H3K18ac,2,0.9571474449807279,-3.2399999999999998
H3K36me3,1,0.509098426684229,13.32
H3K36me3,2,-0.4260993458537625,-37.14
H3K56ac,1,0.694358842208118,42.36
H3K56ac,2,-0.787301170076192,-34.38
H4K5ac,1,0.8798667637984724,-3.7800000000000002
H4K5ac,2,0.9236803259712865,-3.2399999999999998
H4K16ac,1,-0.5890968190861189,-2.52
