ID,Symbol,GeneTitle,Loading,p value
YMR018W,PEX9,PEroXin,0.0222943816740414,0.14916
YCR061W,TVS1,Transmembrane protein Vital for Stress response,0.0222500997180649,0.04593
YOR264W,DSE3,Daughter Specific Expression,0.0222461905189403,0.31792
YOR178C,GAC1,Glycogen ACcumulation,0.0221712048151232,0.06991
YIL055C,NA,NA,0.0221710037909405,0.06745
YJL141C,YAK1,Yet Another Kinase,0.0221500091025533,0.03131
YLR251W,SYM1,Stress-inducible Yeast Mpv17,0.0221458989534777,0.04435
YPL240C,HSP82,Heat Shock Protein,0.0220569014131055,0.21323
YER004W,FMP52,Found in Mitochondrial Proteome,0.0219743452229059,0.10217
YLR311C,NA,NA,0.0219236884102718,0.06472
YPR182W,SMX3,NA,0.0219058094402788,0.06121
YDR513W,GRX2,GlutaRedoXin,0.0218961939726301,0.03398
YAL005C,SSA1,Stress-Seventy subfamily A,0.0218865012985669,0.13078
YOL110W,SHR5,Suppressor of Hyperactive Ras,0.0218777586514138,0.02317
YBR053C,NA,NA,0.0218706760929054,0.03954
YJR073C,OPI3,OverProducer of Inositol,0.0216544512482339,0.20809
YOR177C,MPC54,Meiotic Plaque Component,0.0216309658953662,0.04891
YFL013W-A,NA,NA,0.0216149752881793,0.17386
YCR004C,YCP4,NA,0.0216024078585997,0.04531
YOL048C,RRT8,Regulator of rDNA Transcription,0.0215861257475378,0.05122
YHL021C,AIM17,Altered Inheritance rate of Mitochondria,0.0215411974067924,0.26259
YNL098C,RAS2,homologous to RAS proto-oncogene,0.0214804783696705,0.16558
YPL277C,NA,NA,0.0214552779609715,0.12753
YKL100C,YPF1,Yeast Presenilin-like Family 1,0.0214544098097438,0.02685
YBR295W,PCA1,P-type Cation-transporting ATPase,0.0213941296111763,0.03595
YFL013W-A,NA,NA,0.0213502076683239,0.17644
YJR036C,HUL4,Hect Ubiquitin Ligase,0.0212832350482604,0.04879
YBR299W,MAL32,MALtose,0.0212529748210148,0.12152
YKL185W,ASH1,Asymmetric Synthesis of HO,0.0212524970325646,0.29277
YMR006C,PLB2,PhosphoLipase B,0.021226555692329,0.11839
YLR252W,NA,NA,0.0211516475268684,0.04125
YMR173W,DDR48,DNA Damage Responsive,0.0211125899261891,0.17871
YKL103C,APE1,AminoPeptidase,0.0210756355683606,0.0816
YOR227W,HER1,Hmg2p ER Remodeling,0.0210381957008109,0.05458
YJL057C,IKS1,NA,0.0210350198191507,0.03589
YHR161C,YAP1801,Yeast Assembly Polypeptide,0.0210308766387854,0.02461
YBR126W-A,MEO1,Mini ER ORF,0.0210283653806185,0.08382
YKL096W,CWP1,Cell Wall Protein,0.0210139513398116,0.18029
YHR097C,PAL2,Pears And Lemons,0.0209006643209493,0.06163
YJL066C,MPM1,Mitochondrial Peculiar Membrane protein,0.0207161567650422,0.13989
YPR150W,NA,NA,0.0206922811205787,0.0648
YEL060C,PRB1,PRoteinase B,0.0206742799884362,0.04367
YOL155C,HPF1,Haze Protective Factor,0.0206582616575618,0.08382
YDL019C,OSH2,OxySterol binding protein Homolog,0.0206260207725532,0.05593
YGR194C,XKS1,XyluloKinaSe,0.0205168876694628,0.2512
YOR134W,BAG7,NA,0.0205075170968074,0.07685
YKL224C,PAU16,seriPAUperin,0.020491392214418,0.11525
YGR053C,MCO32,Mitochondrial Class One protein of 32 kDa,0.0204408329307516,0.0599
YGL154C,LYS5,LYSine requiring,0.0204215958479608,0.11597
YGR244C,LSC2,Ligase of Succinyl-CoA,0.0204164750516383,0.16045
YKR046C,PLN1,PeriLipiN,0.0203847957184044,0.05393
YMR324C,NA,NA,0.0203716155624904,0.13834
YBR126W-A,MEO1,Mini ER ORF,0.0203402509507483,0.09382
YDL130W-A,STF1,STabilizing Factor,0.0203376434097473,0.07753
YLR151C,PCD1,Peroxisomal Coenzyme A Diphosphatase,0.0203348169864704,0.06609
YER053C,PIC2,PI Carrier,0.0202961126201328,0.08259
YOL147C,PEX11,PEroXin,0.0202893394088759,0.14545
YHR097C,PAL2,Pears And Lemons,0.0202819154150226,0.03966
YBR298C,MAL31,MALtose fermentation,0.0202636544312,0.10614
YBR158W,AMN1,Antagonist of Mitotic exit Network,0.02017687412765,0.32508
YKL035W,UGP1,UDP-glucose pyrophosphorylase,0.0201625027046944,0.21959
YHR008C,SOD2,SuperOxide Dismutase,0.0201052553836191,0.06406
YHR160C,PEX18,PEroXin,0.0201005146132005,0.06128
YKR075C,NA,NA,0.0200619884190521,0.31217
YBR269C,SDH8,Succinate DeHydrogenase,0.0199895941468037,0.04088
YJL210W,PEX2,PEroXin,0.0199571874407965,0.07434
YKL150W,MCR1,Mitochondrial NADH-Cytochrome b5 Reductase,0.0199371745025809,0.09381
YPL154C,PEP4,carboxyPEPtidase Y-deficient,0.0199226422209502,0.07094
YJL132W,NA,NA,0.019823112357992,0.0514
YIL158W,AIM20,Altered Inheritance rate of Mitochondria,0.0198216215008998,0.32234
YLL040C,VPS13,Vacuolar Protein Sorting,0.0198176452181444,0.08043
YPR193C,HPA2,Histone and other Protein Acetyltransferase,0.0197814190639894,0.11631
YER067C-A,NA,NA,0.0197452718297764,0.14971
YBR286W,APE3,AminoPEptidase,0.0197100685441986,0.05254
YLL023C,POM33,"POre Membrane, 33 kDa",0.0197020028318883,0.08494
YOR285W,RDL1,RhoDanese-Like protein,0.0196761908204109,0.06652
YMR104C,YPK2,Yeast Protein Kinase,0.0196136545597568,0.06305
YAL034C,FUN19,Function Unknown Now,0.0196088897434144,0.12489
YDR330W,UBX5,UBiquitin regulatory X,0.0195910133770102,0.04542
YOR142W,LSC1,Ligase of Succinyl-CoA,0.0195892856253602,0.17345
YML030W,RCF1,Respiratory superComplex Factor,0.0195518394585766,0.20602
YHR138C,NA,NA,0.0195082055438963,0.11026
YDR032C,PST2,Protoplasts-SecreTed,0.0194960436036009,0.07238
YOR054C,VHS3,Viable in a Hal3 Sit4 background,0.0194778247205927,0.02762
YPL135W,ISU1,IScU homolog,0.0194737105568494,0.11577
YOR289W,NA,NA,0.0194673832339674,0.07651
YHL045W,NA,NA,0.0194342375459814,0.18344
YAL005C,SSA1,Stress-Seventy subfamily A,0.0194049551858351,0.12414
YAL005C,SSA1,Stress-Seventy subfamily A,0.0193970494149669,0.11611
YOR027W,STI1,STress Inducible,0.01936937140175,0.20128
YLR219W,MSC3,Meiotic Sister-Chromatid recombination,0.0193430510312176,0.06318
YJL216C,IMA5,IsoMAltase,0.019280429767819,0.10394
YMR251W-A,HOR7,HyperOsmolarity-Responsive,0.0192385730136713,0.10278
YPR158W,CUR1,Curing of [URe3],0.0191581591989785,0.25037
YMR181C,NA,NA,0.0191494279710843,0.12648
YKL093W,MBR1,Mitochondrial Biogenesis Regulation,0.0191376969238673,0.09961
YBL067C,UBP13,UBiquitin-specific Protease,0.0190459297812113,0.07489
YMR053C,STB2,Sin Three Binding protein,0.0190446435109441,0.0543
YCL039W,GID7,Glucose Induced Degradation deficient,0.0190442508846876,0.0584
YGL028C,SCW11,Soluble Cell Wall protein,0.0190136798587933,0.36042
YDR525W-A,SNA2,Sensitivity to NA+,0.0190078907922515,0.04735
YDR146C,SWI5,SWItching deficient,0.018998093237857,0.25785
YAL049C,AIM2,Altered Inheritance rate of Mitochondria,0.0189716096712067,0.03264
YMR173W-A,NA,NA,0.0189591246322064,0.14697
YMR136W,GAT2,NA,0.0188694405886842,0.04143
YBR047W,FMP23,Found in Mitochondrial Proteome,0.0187715824496998,0.19398
YDR073W,SNF11,Sucrose NonFermenting,0.018738242842975,0.17946
