Symbol,T1,T3,T4,T8,T9,T10,T11,T12,T13,T15,T16
YAL015C,9.892934590449626,9.769175093578484,10.105523033161663,10.174798783775392,10.057974513420305,10.114166687328051,10.1143000862043,10.012154791587939,10.120098831168892,10.005169769726534,10.175465600448975
YAL014C,10.200048342643424,9.873019003716273,10.201965205237318,10.054451138750833,10.142013193829454,10.06231326551643,10.326025376866673,10.244506234546012,10.219227357029974,10.437331003997286,10.348655965577382
YAL013W,11.13789739827172,10.668291721891961,10.783506041401102,10.559408265594916,10.796291063431521,10.50835579657177,11.18358954714529,10.804563542111685,10.919316689745722,10.580518506349781,10.66491168337076
YAL012W,10.66017174913611,10.449206858136343,11.124053037415838,11.170443489381991,11.222027755337958,11.228550792234529,11.569974828011045,10.7907654986673,11.093554584369906,11.201414871462966,10.868328148996328
YAL011W,11.782937170718004,11.754214356606244,11.531564101777334,11.354892571752236,11.44674556327653,11.295209856839575,11.37511167307807,11.28975988385591,11.438358453731375,11.414926032420814,11.471885717890032
YAL010C,10.76692555262284,11.025822731770049,10.842608293849144,10.865846046351395,10.880508201475397,10.690178814344977,10.766435069464816,10.845183119919609,10.788230846157575,10.727437837120883,10.836355338663987
YAL009W,9.063263668842502,8.90172070619983,8.81969068078757,9.119115979026576,9.012651890717882,9.120547506788846,9.197918731985206,9.309018148632479,8.94255500167983,9.298759724640101,9.124715737994132
YAL008W,7.980894767787344,8.941531165397972,8.48576341021663,8.743959614723579,8.67811221241861,8.61574475935222,8.580718047871022,8.736753138414057,8.595760645578194,8.87168880654934,8.806077254463679
YAL007C,9.147643690375741,9.175425272705276,9.113246589282797,9.490260250204548,9.62251199563273,9.562572358987177,9.522663658839683,9.413556305381187,9.300436301648894,9.266535146563696,9.34976195812191
YAL005C,12.349216331545497,11.8701466028366,12.420272671223461,11.986753175881082,12.002498332870864,12.050695308713598,12.192309516035788,12.046373646767586,12.297015272749313,12.372892663573923,12.07117508615715
YAL004W,12.506231523809216,12.075835339413228,12.56241856161465,12.221518679122688,12.265122801610469,12.299409284253425,12.413371295572754,12.284557218442329,12.473355269108279,12.529779353703612,12.282883218180732
YAL003W,11.008490211017948,10.437189113376615,10.965578172641466,10.99521660096032,11.018914928213311,11.02959240417657,11.023115888153281,10.626476965417615,10.708366543621448,10.917903288014015,10.650273974931753
YAL002W,12.329137944046062,12.600824426060521,12.448449865987552,12.357354694285519,12.39201947929723,12.367222953599878,12.335878454498438,12.426056731346595,12.39832724994529,12.361496065169955,12.463281842173268
YAL001C,12.272995749338946,12.423346251133896,12.299959149936317,12.321074279929828,12.284609147490889,12.249273299384814,12.311858741553698,12.308964032616183,12.214194500140964,12.196839827033978,12.270972297186301
